record_id,true_lineage_id
CPL-R00001,L00001
CPL-R00002,L00002
CPL-R00003,L00003
CPL-R00004,L00003
CPL-R00005,L00004
CPL-R00006,L00005
CPL-R00007,L00006
CPL-R00008,L00006
CPL-R00009,L00007
CPL-R00010,L00008
CPL-R00011,L00009
CPL-R00012,L00010
CPL-R00013,L00011
CPL-R00014,L00012
CPL-R00015,L00013
CPL-R00016,L00014
CPL-R00017,L00015
CPL-R00018,L00016
CPL-R00019,L00017
CPL-R00020,L00018
CPL-R00021,L00019
CPL-R00022,L00020
CPL-R00023,L00021
CPL-R00024,L00022
CPL-R00025,L00023
CPL-R00026,L00024
CPL-R00027,L00025
CPL-R00028,L00026
CPL-R00029,L00027
CPL-R00030,L00028
CPL-R00031,L00028
CPL-R00032,L00029
CPL-R00033,L00030
CPL-R00034,L00031
CPL-R00037,L00032
CPL-R00035,L00032
CPL-R00036,L00032
CPL-R00038,L00033
CPL-R00039,L00034
CPL-R00041,L00035
CPL-R00040,L00035
CPL-R00042,L00036
CPL-R00043,L00037
CPL-R00044,L00037
CPL-R00045,L00038
CPL-R00046,L00039
CPL-R00047,L00040
CPL-R00048,L00041
CPL-R00049,L00042
CPL-R00051,L00043
CPL-R00050,L00043
CPL-R00052,L00044
CPL-R00053,L00045
CPL-R00054,L00046
CPL-R00055,L00047
CPL-R00056,L00048
CPL-R00057,L00049
CPL-R00058,L00050
CPL-R00059,L00051
CPL-R00060,L00052
CPL-R00061,L00053
CPL-R00062,L00054
CPL-R00063,L00055
CPL-R00065,L00057
CPL-R00066,L00058
CPL-R00067,L00059
CPL-R00068,L00060
CPL-R00069,L00061
CPL-R00070,L00061
CPL-R00071,L00062
CPL-R00072,L00063
CPL-R00073,L00064
CPL-R00074,L00065
CPL-R00075,L00066
CPL-R00077,L00067
CPL-R00076,L00067
CPL-R00078,L00068
CPL-R00079,L00069
CPL-R00080,L00070
CPL-R00081,L00071
CPL-R00082,L00072
CPL-R00083,L00073
CPL-R00084,L00074
CPL-R00085,L00075
CPL-R00086,L00076
CPL-R00087,L00077
CPL-R00088,L00078
CPL-R00089,L00079
CPL-R00090,L00080
CPL-R00091,L00081
CPL-R00093,L00082
CPL-R00092,L00082
CPL-R00094,L00083
CPL-R00095,L00084
CPL-R00096,L00085
CPL-R00097,L00086
CPL-R00098,L00087
CPL-R00099,L00088
CPL-R00100,L00089
CPL-R00101,L00090
CPL-R00102,L00091
CPL-R00103,L00092
CPL-R00104,L00093
CPL-R00105,L00094
CPL-R00108,L00095
CPL-R00106,L00095
CPL-R00107,L00095
CPL-R00109,L00096
CPL-R00110,L00097
CPL-R00111,L00098
CPL-R00112,L00099
CPL-R00114,L00100
CPL-R00113,L00100
CPL-R00115,L00101
CPL-R00117,L00102
CPL-R00116,L00102
CPL-R00118,L00103
CPL-R00119,L00104
CPL-R00120,L00105
CPL-R00121,L00106
CPL-R00122,L00107
CPL-R00123,L00108
CPL-R00124,L00109
CPL-R00125,L00110
CPL-R00126,L00111
CPL-R00127,L00112
CPL-R00128,L00112
CPL-R00129,L00113
CPL-R00130,L00113
CPL-R00131,L00114
CPL-R00132,L00115
CPL-R00133,L00116
CPL-R00136,L00117
CPL-R00134,L00117
CPL-R00135,L00117
CPL-R00137,L00118
CPL-R00138,L00119
CPL-R00139,L00120
CPL-R00141,L00121
CPL-R00140,L00121
CPL-R00142,L00122
CPL-R00143,L00123
CPL-R00144,L00124
CPL-R00145,L00125
CPL-R00146,L00126
CPL-R00147,L00127
CPL-R00148,L00128
CPL-R00149,L00129
CPL-R00150,L00130
CPL-R00151,L00131
CPL-R00152,L00132
CPL-R00153,L00133
CPL-R00154,L00134
CPL-R00155,L00135
CPL-R00156,L00136
CPL-R00157,L00137
CPL-R00158,L00137
CPL-R00159,L00138
CPL-R00160,L00138
CPL-R00161,L00139
CPL-R00163,L00140
CPL-R00162,L00140
CPL-R00164,L00141
CPL-R00165,L00142
CPL-R00166,L00143
CPL-R00167,L00144
CPL-R00168,L00145
CPL-R00169,L00146
CPL-R00170,L00147
CPL-R00171,L00148
CPL-R00172,L00149
CPL-R00173,L00150
CPL-R00174,L00151
CPL-R00175,L00152
CPL-R00176,L00153
CPL-R00177,L00154
CPL-R00178,L00154
CPL-R00179,L00155
CPL-R00180,L00156
CPL-R00181,L00157
CPL-R00182,L00158
CPL-R00183,L00159
CPL-R00185,L00160
CPL-R00184,L00160
CPL-R00186,L00161
CPL-R00187,L00162
CPL-R00188,L00163
CPL-R00189,L00164
CPL-R00190,L00165
CPL-R00191,L00166
CPL-R00192,L00167
